Ticker,SmartScore,Market Capitalization,Sector,Industry
ZYME,10.0,1796164265.0,Health Technology,Pharmaceuticals: Major
ZWS,7.0,7599400475.000001,Producer Manufacturing,Industrial Machinery
ZTS,10.0,51071935466.0,Health Technology,Pharmaceuticals: Major
ZTO,6.0,15095363003.56422,Transportation,Air Freight/Couriers
ZS,8.0,44281492082.99999,Technology Services,Packaged Software
ZM,8.0,23470288924.0,Technology Services,Packaged Software
ZLAB,3.0,2307586423.665329,Health Technology,Biotechnology
ZK,3.0,6826216346.0,Consumer Durables,Motor Vehicles
ZIONP,,7447013703.0,Finance,Major Banks
ZION,8.0,7447013703.000001,Finance,Major Banks
ZIM,4.0,2017663197.0,Transportation,Marine Shipping
ZGN,9.0,4025255954.0,Consumer Non-Durables,Apparel/Footwear
ZG,6.0,16155289907.0,Technology Services,Internet Software/Services
ZETA,10.0,3921572382.0,Technology Services,Packaged Software
ZD,8.0,1166973936.0,Technology Services,Internet Software/Services
ZBRA,8.0,11570799418.0,Electronic Technology,Computer Processing Hardware
ZBIO,10.0,1870182113.0,Health Technology,Biotechnology
ZBH,6.0,17652031874.0,Health Technology,Medical Specialties
Z,1.0,16155289907.0,Technology Services,Internet Software/Services
YUMC,4.0,17120428064.0,Consumer Services,Restaurants
YUM,4.0,41428580932.0,Consumer Services,Restaurants
YPF,4.0,15406690337.224758,Energy Minerals,Integrated Oil
YOU,8.0,4524786833.0,Technology Services,Packaged Software
YMM,7.0,10602959691.0,Technology Services,Packaged Software
YEXT,5.0,1017935943.0,Technology Services,Data Processing Services
YETI,6.0,2797201724.9999995,Producer Manufacturing,Miscellaneous Manufacturing
YELP,5.0,1774043910.0000002,Technology Services,Internet Software/Services
YALA,7.0,1092266606.0,Technology Services,Internet Software/Services
XZO,-1.0,1251798144.1,Technology Services,Packaged Software
XYZ,2.0,37645032580.0,Commercial Services,Miscellaneous Commercial Services
XYL,5.0,33608466742.0,Producer Manufacturing,Industrial Machinery
XRAY,6.0,1973569066.0,Health Technology,Medical Specialties
XPRO,7.0,1495590803.0,Energy Minerals,Oil & Gas Production
XPO,6.0,14748158617.0,Transportation,Trucking
XPEV,7.0,20036299391.349567,Consumer Durables,Motor Vehicles
XPEL,7.0,1155858381.9999998,Consumer Durables,Automotive Aftermarket
XP,8.0,9026518806.0,Finance,Investment Banks/Brokers
XOM,7.0,493492695853.0,Energy Minerals,Integrated Oil
XNCR,6.0,1112218042.0,Health Technology,Biotechnology
XMTR,9.0,2838607506.0,Technology Services,Information Technology Services
XIFR,6.0,1676659827.0,Utilities,Alternative Power Generation
XHR,7.0,1271345066.0,Finance,Real Estate Investment Trusts
XERS,8.0,1134922141.0,Health Technology,Biotechnology
XENE,7.0,3111864654.0,Health Technology,Pharmaceuticals: Major
XELLL,,47021492183.0,Utilities,Electric Utilities
XEL,9.0,47021492182.99999,Utilities,Electric Utilities
WYNN,9.0,12179570486.0,Consumer Services,Casinos/Gaming
WY,5.0,15404800665.0,Finance,Real Estate Investment Trusts
WWW,6.0,1200829638.0,Consumer Non-Durables,Apparel/Footwear
WWD,7.0,15506064584.0,Producer Manufacturing,Industrial Machinery
WVE,7.0,1129312928.9999998,Health Technology,Biotechnology
WULF,10.0,4839962764.0,Technology Services,Data Processing Services
WU,8.0,2596792935.9999995,Finance,Regional Banks
WTW,10.0,30149323241.0,Finance,Insurance Brokers/Services
WTTR,7.0,1138619142.0,Energy Minerals,Oil & Gas Production
WTS,1.0,8883550837.0,Producer Manufacturing,Industrial Machinery
WTRG,9.0,10942663030.000002,Utilities,Water Utilities
