Ticker,SmartScore,Market Capitalization,Sector,Industry
ZYME,7,1281454830.0,Health Technology,Pharmaceuticals: Major
ZWS,3,7834755589.000001,Producer Manufacturing,Industrial Machinery
ZTS,9,63548077734.0,Health Technology,Pharmaceuticals: Major
ZTO,2,15322570171.221489,Transportation,Air Freight/Couriers
ZS,8,49898002333.99999,Technology Services,Packaged Software
ZM,5,24751247995.0,Technology Services,Packaged Software
ZLAB,4,3751446774.28255,Health Technology,Biotechnology
ZK,5,7657004898.0,Consumer Durables,Motor Vehicles
ZIONP,,8241836719.999999,Finance,Major Banks
ZION,10,8241836719.999999,Finance,Major Banks
ZIM,4,1556310964.0,Transportation,Marine Shipping
ZGN,3,3972076714.0,Consumer Non-Durables,Apparel/Footwear
ZG,5,17025978699.999998,Technology Services,Internet Software/Services
ZETA,8,4848891204.0,Technology Services,Packaged Software
ZD,2,1557700352.9999998,Technology Services,Internet Software/Services
ZBRA,7,15192023940.999998,Electronic Technology,Computer Processing Hardware
ZBIO,8,1168982310.0,Health Technology,Biotechnology
ZBH,7,19288605901.0,Health Technology,Medical Specialties
Z,6,17025978699.999998,Technology Services,Internet Software/Services
YUMC,4,15644712072.999998,Consumer Services,Restaurants
YUM,6,39601566150.0,Consumer Services,Restaurants
YPF,2,10689446482.943909,Energy Minerals,Integrated Oil
YOU,5,4119367118.999999,Technology Services,Packaged Software
YMM,5,13313412292.0,Technology Services,Packaged Software
YEXT,8,1038886207.0,Technology Services,Data Processing Services
YETI,3,2694207491.0,Producer Manufacturing,Miscellaneous Manufacturing
YELP,1,1966231320.0,Technology Services,Internet Software/Services
YALA,8,1164979007.0,Technology Services,Internet Software/Services
XYZ,8,49285025117.0,Commercial Services,Miscellaneous Commercial Services
XYL,8,35734975000.0,Producer Manufacturing,Industrial Machinery
XRAY,3,2437692776.0,Health Technology,Medical Specialties
XPRO,9,1469189682.0,Energy Minerals,Oil & Gas Production
XPO,9,16212306021.0,Transportation,Trucking
XPEV,9,22262994601.50808,Consumer Durables,Motor Vehicles
XP,2,8568079686.999998,Finance,Investment Banks/Brokers
XOM,7,481363242321.0001,Energy Minerals,Integrated Oil
XMTR,8,2630658717.0,Technology Services,Information Technology Services
XIFR,5,2016878814.0,Utilities,Alternative Power Generation
XHR,10,1214495348.0,Finance,Real Estate Investment Trusts
XERS,9,1322524097.0,Health Technology,Biotechnology
XENE,7,3182927197.9999995,Health Technology,Pharmaceuticals: Major
XELLL,,48059294966.0,Utilities,Electric Utilities
XEL,7,48059294966.0,Utilities,Electric Utilities
WYNN,8,12846300843.999998,Consumer Services,Casinos/Gaming
WYFI,-1,1276215499.9999998,Technology Services,Data Processing Services
WY,8,17633728891.0,Finance,Real Estate Investment Trusts
WWW,9,2087424263.0,Consumer Non-Durables,Apparel/Footwear
WWD,6,15095296519.999998,Producer Manufacturing,Industrial Machinery
WVE,6,1303360277.0000002,Health Technology,Biotechnology
WULF,7,5543961099.0,Technology Services,Data Processing Services
WU,6,2606345893.0,Finance,Regional Banks
WTW,9,32911717401.0,Finance,Insurance Brokers/Services
WTTR,6,1259953385.0,Utilities,Water Utilities
WTS,7,9130431128.0,Producer Manufacturing,Industrial Machinery
WTRG,7,11350566950.0,Utilities,Water Utilities
WTM,2,4946060330.0,Finance,Multi-Line Insurance
WTFCN,,8798869273.0,Finance,Regional Banks
WTFC,9,8798869273.0,Finance,Regional Banks
WT,7,1959466953.0,Miscellaneous,Investment Trusts/Mutual Funds
WST,10,18953331954.0,Health Technology,Medical Specialties
WSR,6,1184226981.0,Finance,Real Estate Investment Trusts
WSO,6,15460439469.999998,Producer Manufacturing,Building Products
WSM,8,23053691999.0,Retail Trade,Specialty Stores
WSFS,4,2988192302.0,Finance,Savings Banks
WSC,6,4074839986.0,Finance,Finance/Rental/Leasing
WSBCP,,3200300693.0,Finance,Regional Banks
WSBCO,,3200300693.0,Finance,Regional Banks
WSBC,10,3200300693.0,Finance,Regional Banks
WS,7,1559698838.0,Non-Energy Minerals,Steel
WRD,5,3405811073.0,Technology Services,Packaged Software
WRBY,8,2895294437.0,Retail Trade,Specialty Stores
WRB/PH,8,29402775470.0,Finance,Multi-Line Insurance
WRB/PG,8,29402775470.0,Finance,Multi-Line Insurance
WRB/PF,8,29402775470.0,Finance,Multi-Line Insurance
WRB/PE,8,29402775470.0,Finance,Multi-Line Insurance
WRB,8,29402775470.0,Finance,Multi-Line Insurance
WPP,3,4963934445.758,Commercial Services,Advertising/Marketing Services
WPM,8,46929899833.13933,Non-Energy Minerals,Precious Metals
WPC,5,14687750685.0,Finance,Real Estate Investment Trusts
WOR,9,2766343563.9999995,Producer Manufacturing,Industrial Machinery
WOOF,5,1050966967.0000002,Retail Trade,Internet Retail
WNS,7,3272376101.0,Commercial Services,Miscellaneous Commercial Services
WMT,9,811397027059.0,Retail Trade,Specialty Stores
WMS,8,10712754408.0,Producer Manufacturing,Miscellaneous Manufacturing
WMK,5,1686591916.9999998,Retail Trade,Food Retail
WMG,9,16732655977.999998,Commercial Services,Commercial Printing/Forms
WMB,7,77056290068.0,Industrial Services,Oil & Gas Pipelines
WM,7,87627679510.99998,Industrial Services,Environmental Services
WLYB,,1925931243.0,Consumer Services,Publishing: Books/Magazines
WLY,4,1925931243.0,Consumer Services,Publishing: Books/Magazines
WLK,7,10352038393.0,Process Industries,Chemicals: Specialty
WLDN,7,1373678649.0,Commercial Services,Miscellaneous Commercial Services
WKC,6,1398612025.0,Distribution Services,Wholesale Distributors
WK,10,4879516978.0,Technology Services,Information Technology Services
WIX,8,7722289268.0,Technology Services,Packaged Software
WIT,4,29026963593.92853,Technology Services,Information Technology Services
WING,3,6973957496.0,Consumer Services,Restaurants
WINA,7,1599396558.0,Retail Trade,Apparel/Footwear Retail
WHR,4,4161338309.0,Consumer Durables,Electronics/Appliances
WHD,3,2870045658.0,Industrial Services,Oilfield Services/Equipment
WH,9,5910737356.0,Consumer Services,Hotels/Resorts/Cruise lines
