Ticker,SmartScore,Market Capitalization,Sector,Industry
ZYME,9.0,1355676174.0,Health Technology,Pharmaceuticals: Major
ZWS,6.0,7970919489.0,Producer Manufacturing,Industrial Machinery
ZTS,8.0,52689278728.0,Health Technology,Pharmaceuticals: Major
ZTO,2.0,14919503525.339527,Transportation,Air Freight/Couriers
ZS,6.0,50327001054.0,Technology Services,Packaged Software
ZM,7.0,24607590271.0,Technology Services,Packaged Software
ZLAB,3.0,2796415321.216269,Health Technology,Biotechnology
ZK,3.0,7147221081.0,Consumer Durables,Motor Vehicles
ZIONP,,7566549969.0,Finance,Major Banks
ZION,8.0,7566549969.000001,Finance,Major Banks
ZIM,4.0,1765906993.9999998,Transportation,Marine Shipping
ZGN,6.0,3988439527.0,Consumer Non-Durables,Apparel/Footwear
ZG,3.0,17372704161.0,Technology Services,Internet Software/Services
ZETA,10.0,4652528555.0,Technology Services,Packaged Software
ZD,3.0,1338744845.0,Technology Services,Internet Software/Services
ZBRA,8.0,13082500913.0,Electronic Technology,Computer Processing Hardware
ZBIO,9.0,1366900735.0,Health Technology,Biotechnology
ZBH,7.0,17541050682.000004,Health Technology,Medical Specialties
Z,4.0,17372704161.0,Technology Services,Internet Software/Services
YUMC,4.0,15884379446.000002,Consumer Services,Restaurants
YUM,7.0,40967041163.00001,Consumer Services,Restaurants
YPF,4.0,14802965074.52429,Energy Minerals,Integrated Oil
YOU,6.0,4202896190.000001,Technology Services,Packaged Software
YMM,6.0,12949942183.0,Technology Services,Packaged Software
YEXT,8.0,1045047953.0,Technology Services,Data Processing Services
YETI,6.0,2853407213.0,Producer Manufacturing,Miscellaneous Manufacturing
YELP,2.0,2026138993.0,Technology Services,Internet Software/Services
YALA,7.0,1147591314.0,Technology Services,Internet Software/Services
XYZ,7.0,43237933365.0,Commercial Services,Miscellaneous Commercial Services
XYL,8.0,36603136864.0,Producer Manufacturing,Industrial Machinery
XRAY,1.0,2198312187.0,Health Technology,Medical Specialties
XPRO,8.0,1484234718.0,Energy Minerals,Oil & Gas Production
XPO,6.0,15992432511.000002,Transportation,Trucking
XPEV,7.0,21908342632.42313,Consumer Durables,Motor Vehicles
XPEL,7.0,1000646515.0,Consumer Durables,Automotive Aftermarket
XP,4.0,9822201591.999998,Finance,Investment Banks/Brokers
XOM,8.0,482865452881.0,Energy Minerals,Integrated Oil
XMTR,10.0,3178379504.9999995,Technology Services,Information Technology Services
XIFR,2.0,1772522707.0000002,Utilities,Alternative Power Generation
XHR,9.0,1237215029.0,Finance,Real Estate Investment Trusts
XERS,8.0,1245013597.0,Health Technology,Biotechnology
XENE,9.0,2959632792.0,Health Technology,Pharmaceuticals: Major
XELLL,,47642610709.0,Utilities,Electric Utilities
XEL,7.0,47642610709.0,Utilities,Electric Utilities
WYNN,7.0,12741284324.0,Consumer Services,Casinos/Gaming
WYFI,-1.0,1060991250.0,Technology Services,Data Processing Services
WY,6.0,16457257098.999998,Finance,Real Estate Investment Trusts
